,_id,batch_id,starts_at,ends_at,status,service_name,alert_category,alert_subcategory,severity,alert_name,recorded_at,payload
status,68b83470f013e1a62ae22c9b,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 12:05:19.573,2025-09-03 12:06:19.573,resolved,emua-payment-df-service,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,resolved
labels,68b83470f013e1a62ae22c9b,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 12:05:19.573,2025-09-03 12:06:19.573,resolved,emua-payment-df-service,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,"{'__tenant_id__': 'aks-res-clusters', 'aiops': 'enabled', 'alert_category': 'anomaly', 'alert_subcategory': 'Resource', 'alertname': 'ResourceRateAnomaly', 'anomaly_entity_type': 'Pod', 'anomaly_resource_type': 'network:rx_bytes', 'cluster': 'esco-aksres-nonprod-westus-cluster-01', 'metrics_source': 'cAdviser', 'namespace': 'emua-stage', 'node': 'aks-escoresnp07-32113162-vmss00003q', 'platform': 'aks', 'pod': 'emua-payment-df-service-deployment-9c85f6c4f-gk97v', 'service_name': 'emua-payment-df-service', 'severity': 'warning', 'workload': 'emua-payment-df-service-deployment', 'workload_type': 'deployment'}"
annotations,68b83470f013e1a62ae22c9b,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 12:05:19.573,2025-09-03 12:06:19.573,resolved,emua-payment-df-service,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,{'description': 'The network:rx_bytes rate for emua-payment-df-service emua-payment-df-service-deployment-9c85f6c4f-gk97v   has fallen below its lower bound or risen above its upper bound.'}
startsAt,68b83470f013e1a62ae22c9b,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 12:05:19.573,2025-09-03 12:06:19.573,resolved,emua-payment-df-service,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,2025-09-03T12:05:19.573Z
endsAt,68b83470f013e1a62ae22c9b,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 12:05:19.573,2025-09-03 12:06:19.573,resolved,emua-payment-df-service,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,2025-09-03T12:06:19.573Z
fingerprint,68b83470f013e1a62ae22c9b,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 12:05:19.573,2025-09-03 12:06:19.573,resolved,emua-payment-df-service,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,4e355b4cd08ed287
status,68b83470f013e1a62ae22c9c,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 11:52:19.573,2025-09-03 12:04:19.573,resolved,esob-k8s-collector,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,resolved
labels,68b83470f013e1a62ae22c9c,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 11:52:19.573,2025-09-03 12:04:19.573,resolved,esob-k8s-collector,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,"{'__tenant_id__': 'aks-res-clusters', 'aiops': 'enabled', 'alert_category': 'anomaly', 'alert_subcategory': 'Resource', 'alertname': 'ResourceRateAnomaly', 'anomaly_entity_type': 'Pod', 'anomaly_resource_type': 'network:rx_bytes', 'cluster': 'esco-aksres-nonprod-westus-cluster-01', 'metrics_source': 'cAdviser', 'namespace': 'esob-perf1', 'node': 'aks-escoresnp04-12654274-vmss00001r', 'platform': 'aks', 'pod': 'esob-k8s-collector-q85hh', 'service_name': 'esob-k8s-collector', 'severity': 'warning', 'workload': 'esob-k8s-collector', 'workload_type': 'daemonset'}"
annotations,68b83470f013e1a62ae22c9c,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 11:52:19.573,2025-09-03 12:04:19.573,resolved,esob-k8s-collector,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,{'description': 'The network:rx_bytes rate for esob-k8s-collector esob-k8s-collector-q85hh   has fallen below its lower bound or risen above its upper bound.'}
startsAt,68b83470f013e1a62ae22c9c,26f667bf-b56d-4949-93c4-c81b8efb5932,2025-09-03 11:52:19.573,2025-09-03 12:04:19.573,resolved,esob-k8s-collector,anomaly,Resource,warning,ResourceRateAnomaly,2025-09-03 12:28:32.405,2025-09-03T11:52:19.573Z
